thicc,April 26
Gareth Lockrane,Fistfight at the Barndance
Anton Eger,Æ
Peggy Gou,Once
Bill Orcutt,Bill Orcutt
freetousesounds,Ventilation Sound Effects Library
ddb,Midi: The Older Stuff
TOINE THYS,"DERvISH ""ABSTRACKS"""
Charlie Cawood,The Divine Abstract
Charlie Cawood,Blurring Into Motion
Emmett Elvin,Assault on the Tyranny of Reason
Emmett Elvin,The End Of Music
Daniel Elms,Islandia
Sheik Anorak + Schakalens Bror,Sheik Anorak + Schakalens Bror
Phog,Evidence
Farmhouse Odyssey,Fertile Ground
ddb,Protect 2: Another Tome Straight to Your Dome
ddb,unlit overpass
Ixtli,Ixtli
ddb,Caelum
John Makay,CROM
ISaAC,Evasions Manquées
Matching Mole,March
feat. Esserelà,Disco Dooro
OKIDOKI,When Oki meets Doki
Sheik Anorak,Let's just bullshit our way through
Sheik Anorak,North Star
Forêt,Ma Walki
Sweetest Choice,Trois Oiseaux
Sweetest Choice,Speechless Songs
The End,Last Blues
{Brahme},Criquet
Marc Edwards/ Mick Barr duo,The Bowels of Jupiter
Videoiid,EP
atatat + Ryoko Ono,No Breeze In Space
Cement Shoes,Opus Caementicium
Sheik Anorak,GBG1
Sheik Anorak,Platine (video edit)
Sheik Anorak,So Long
Collectif Coax,CLUB SIESTE
Facteur Sauvage,Facteur Sauvage II
Phoenician Drive,Two Coins
Phoenician Drive,Phoenician Drive
LFant,LFant
Hidden People,Tambour cloche
La Souterraine,RURBAIN
Metek,Paris 75021 (Mixtape)
Riski,26 (EP)
Riski,Tercian 2
Riski,Tercian (EP)
Riski,Oh Mon Dieu (EP)
LK de l'Hotel Moscou x Corrado,Aphelion
billy woods,Hiding Places
Teka Records,Batuk - Kasi Royalty
RROBIN,Déluge
RROBIN,19
Le Parasite,My Mind Travels Far
L.O.A.S,NDMA
JOEY LE SOLDAT (Hip Hop Electro – Burkina Faso),BARKA
Baloji,Kaniama: The Yellow Version
Baloji,137 Avenue Kaniama
Hors Cadres,Par les damné.e.s de la terre
Billie Brelok,GARE DE L'OUEST Volets 1&2 digipack
Sameer Ahmad,Apaches (Album)
Ypsos & Smimooz,FRENCH MELANCHOLY
11PARANOIAS,Asterismal
ZOHASTRE,MVTMJSUNP
Enablers,Zones
LITE,Multiple (6th album)
LITE,Blizzard
miRthkon,VEHICLE
miRthkon,Snack(s)
miRthkon,The Illusion of Joy
Teotima,Weightless
Cement Shoes,Opus Caementicium ( Gaffer records 2019)
AWAKE,Aubes et Crépuscules
Present,A Great Inhumane Adventure
Boltzmann Brain,Spacesquid Brain
Boltzmann Brain,Sind die echt
Kinkajous,Hidden Lines
Collectif Coax,"TRIPES ""Descendre, inventrer"""
Hassan K,Bakhtak
Schnellertollermeier,X
Mimika Orchestra,Divinities of the Earth and the Waters
GIGANTONIUM,"TRIPES ""Descendre, inventrer"""
Oort Smog,Smeared Pulse Transfers
Cloudmakers Trio,Traveling Pulse
CHEVIGNON,Déchirance
Wild Classical Music ensemble,Tout va bien se passer (Het komt allemaal wel goed))
FRANCIS BEBEY,African Electronic Music 1975-1982
Louis Minus XVI,Birds & Bats
Unik Ubik,Maximum Axis
Margaret Catcher,Singularity
Harpon,béji
Drive With A Dead Girl,Reign Falls
F.A.T,Animal
Nooumena,Controlled Freaks
Stoned Diplodocus,Ante Mortem
Louis Minus XVI,De Anima
TOC,Will never play these songs again
Flür,Flür
Dustman Dilemma,On second thought
Chafouin,Chafouin
Zézette,Zézette
Multimodal Brothers,A self styled economic talk
CHIVES,Yeaux
JackDupon,Bascule à vif
Collectif Coax,Rétroviseur Rückspiegel
Collectif Coax,PIPELINE
GIGANTONIUM,"JOE QUARTZ ""The new world"""
Schleu,Demo
Pauwels,SINGE
Asylon Terra,Blind Man Running
KING TAO ORCHESTRA,"KING TAO ORCHESTRA, MAKO"
SVITI,Douce douce nuit
Pauwels,Poena cullei
Gilles Poizat,Horse in the House
Moon Rã,L2
Le Rex,Escape of the Fire Ants [HD 24b / 44.1k]
Pauwels,Pauwels
University Of Errors,Jet Propelled Photographs
"Martín Escalante, Pedro Fukuda, Kevin Salkeld",Los Saltos Temporales de David Jr.
The Orchestra Of Mirrored Reflections,Frequency Jazz
ULTRA ZOOK,ULTRA ZOOK l'album
La Souterraine,SANS PAROLE
Sur Ecoute Quartet,Muss es sein ? Es muss sein !
ni,Pantophobie
Hippie Diktat,Gran Sasso
Severin 24,Pretty bear
Arrington de Dionyso,Honey and Poison (2019) MALAIKAT DAN SINGA
Damirah,Lights and Guns and Fire
Crown Larks,Population
Far Corner,Risk [HD 24b/96k]
Led Bib,Sensible Shoes
HIPPIE DIKTAT,Gran Sasso
Lady Fitness,Charlotte
POTEMKINE,Foetus
Raoul Bjorkenheim,Apocalypso
Florestan Berset & Noël Akchoté,Antomology (EP)
Henry Threadgill,"Tomorrow Sunny / The Revelry, Spp"
David S. Ware Quartet,Wisdom of Uncertainty
Kouma,AibohphobiA
LE VILLEJUIF UNDERGROUND,When will the Flies in Deauville drop ?
CANNIBALE,NOT EASY TO COOK
100%chevalier,EP-IC
Monstre,Serendipité
Cuneiform Records,Cuneiform Records: The Albums of 2018
TRACTEUR,Tracteur
ULTRA ZOOK,EPUZ
RIEN,There Can't Be Any Prediction Without Future
Out Is,Automne 1
COLLAPSEUM,L'Espace Insuffisant
Renaud VINCENT & Theovonwood,O.S.T. Château Descartes
Kurushimi,Return 2: The Grove
Borja Flames,Rojo vivo
Bégayer,Terrain à mire . Une maison rétive . Contrainte par le toit
Kurushimi,What Is Chaos?
Steven Lugerner & Fred Hersch,Gravitations Vol. II
Steven Lugerner & Patricia Brennan,Gravitations Vol. III
Champagne Dub,Drops
Dark Radish,EP
Labelle,Post-maloya EP
PoiL,Mula PoiL (split)
DRH,Thin Ice
BAD PELICANS,BEST OF
Nicotina es Primavera,Perder Planetas
Matt Calvert,Mute Heart
Glossolalie,Glossolalie
Various Artists,FRANCIS BEBEY - REMIX
Joëlle Léandre,Can You Hear Me?
Fred Pallem & le Sacre du Tympan,CARTOONS
La Souterraine,"La Vraie Vie, une sélection de chansons par Ignatus"
Stop Motion Orchestra,Lightworks
GIGANTONIUM,Sylvain Darrifourcq - In Love With - Coitus Interruptus
Carl-Éric Hudon,Nous étions jeunes
Carl-Éric Hudon,Je ne danse pas
La Souterraine,Trois-maxis-de-la-francophonie
BLAST,Drifting
"Alexey Kruglov, Anna Chekasina",Metonymy
je ne sais quoi,qu'est-ce que ça
PRIEUR DE LA MARNE,Messages Personnels
Pierre Vassiliu,FACE B - 1965/1981
Phronesis,Parallax
Sekta Denta,Underworld Printing House
Garlic Frog Diet,Split w/ Samiam
Garlic Frog Diet,Fly to Hell
La Souterraine,aristocrate
El Pricto/Diego Caicedo/Javier Garrabella/Vasco Trilla,Demonology
Delta Sleep,Ghost City
Clara Clara,Comfortable Problems
Ned,Bon Sauvage
Various Artists,Music Activists #1
Deaf Wish,Lithium Zion
ZWOYLD,ZGOND
GIGANTONIUM,"Jean-Brice Godet ""épiphanies"""
Plantae,[UNTLDFAMILY004] Abzernad EP
GIGANTONIUM,"JOE QUARTZ ""self afraid"""
Orest Filipov,Unseen World
Hassan K.,Talab
Hassan K.,30 Birds
The Muffins,Open City
Frank Feutré,Aquaiens
Nucleus,Live In Bremen
CHINABOT,Phantom Force
FAUXE,I K H L A S
Lama + Joachim Badenhorst,The Elephant's Journey
LAMA + Joachim Badenhorst,Metamorphosis
Jack O' The Clock,Repetitions of the Old City - II
ScottClark,ToNow
East Brunswick All Girls Choir,Teddywaddy
JOY AS A TOY,GOOGLE A GUN EP
Pratos,TARPOS
Tripes,Suicide jazz
TRIPES,SUICIDE JAZZ
Blast,Madness Is The Emergency Exit
Benjamin Petit Delor,Chevalier de jungles et d'esprits
Rehab Records,Resistance to the Passage of Sound
imperial quartet,imperial quartet
Noruz,The Witching Hour
Noruz,Music For Dads
Albert Cirera/Olle Vilkström/Ulrich Mitzlaff/Alvaro Rosso/Carlos “Zingaro”,Cròniques 5: Ao Vivo!
Kinkajous,Jupiter
Les Pompiers,Grande échelle monte jusqu'au ciel
Nicotina es Primavera,TVL-011 // Perder Planetas
sourdure,Mantras
Thinking Plague,Hoping Against Hope
Thinking Plague,In This Life
sourdure,L'Espròva
Orion Dust,Duality
Francky Goes to Pointe-à-Pitre,FRANCKY GOES TO POINTE A PITRE
MaAuLa Records,"MaAuLa-o-rama Vol.01 ""Exotic Viennoiseries"""
Magnetic Ensemble,Dancing Alone
Gontard,Tout naît / tout s'achève dans un disque
Supa Dupa,Rise (EP)
Mutoid Man,War Moans
Pharnal,Limbes
Tortoise,A Lazarus Taxon
Lucas Hercberg,Crabe
Dong Ki Kong,Donkistador
Dong Ki Kong,Dong Ki Kong
SUUNS,Felt
Crystal Dinosaurs,Trublion cosmique Part II
Crystal Dinosaurs,Magic Turtles
Nubya Garcia,When We Are
Tortoise,Millions Now Living Will Never Die
Discordian Community Ensemble,"Draught, Suspicion"
Berta Puigdemasa/Mikael Szafirowski,Electric Philokalia
MAGVM,The Map Is Not The Territory
Bruitage,Bruitage
MOOP,MOOP
Collectif Coax,"MeTaL-O-PHoNe ""Kosmos"""
"Mary Halvorson & Noël Akchoté,",Mary Halvorson & Noël Akchoté
Bégayer,à la radio
June et Jim,Noche primera
Novembre,Calques
Kumquat,Blast
Voi Voi,Musique pour le vent
Super tacos,Super Tacos
Cornflakes Heroes,Dear Mr Painkillers
GIGANTONIUM,Clément Janinet   O.U.R.S
UMLAUT BIG BAND,"UMLAUT BIG BAND plays Badaroux, Gerbal, Denzler, Borel"
Bon Cheval,Ces gens qui fument
Postcoïtum,Learning to be me
Collectif Coax,FABIEN GASTON RIMBAUD - Bateleur Batard (Album)
SVITI,SVITI
Coccyx,Coccyx
Çub,Musique Actuelle
CANARI,Désamorceur
Emmanuel Scarpa,Invisible Worlds
Deux Boules Vanille,Deux Boules Vanille
"Sheep, Dog & Wolf",Ablutophobia EP
"Sheep, Dog & Wolf",Egospect
imperial quartet,grand carnaval
VICTIME,La femme taupe
PoiL,L'ire des papes
PoiL,L'ire des papes / Dins o cuol
seal of quality,L'éternité
Collectif Coax,PHOQUE EVENTRE Yann Joussein
Vegan Dallas,Electro Griot
Scherzoo,01
Cas D'Ecole X Deux Lyricists,Cas d'Ecole X Deux Lyricists
An Endless Sporadic,Magic Machine
An Endless Sporadic,It's Like A Path But It Changes All The Time
La Souterraine,PAYS VAINCUS
Camille Bénâtre,Îlot de Consolation
Tortoise,Tortoise
COAX,Compagnie nationale
Format,Empyrée
Tasty Granny,Flip a Machine That Works
Kaidi Tatham,The Extrovert City
Rince-Doigt,Croisière Annulée
Léonore Boulanger,SQUARE OUH LA LA
Léonore Boulanger,LES POINTES ET LES DÉTOURS
Sputnik,Parallax Vol. I
"Magvm: (Obdo, Lopinski)",The Map is Not the Territory
Sekta Denta,Sekta Denta
Scott Bevins Group,For A Mouse
Noyades,Go Fast
PARTOUT PARTOUT,c o u c o u
Strobes,Brokespeak
Blacklisters,Adult
SEAL OF QUALITY,Affective Design
L'Effondras,Les Flavescences
Air Brigitte,EP#1
"Pauwels, Uns",U.P. (split)
若潭 ruò tán,2015 China Tour
Mai Mai Mai,Φ (Phi)
Société Étrange,Au Revoir
Pratos,Pratos
Saddam Webcam,Three thrills trees
Sheezahee,the experience of dying alive
